Simulation	Risk_Percentage	Par1	Par2	Par3	Par4	Par5	Par6	Par7	Par8	Par9	Par10	Par11	Par12	Par13	Par14	Par15	Par16	Par17	Par18	Par19	Par20	Par21	Par22	Par23	Par24	Par25	Par26	Par27	Par28	Par29	Par30	Par31	Par32	Par33	Par34	Par35	Par36	Par37	Par38	Par39	Par40	Par41	Par42	Par43	Par44	Par45	Par46	Par47	Par48	Par49	Par50	Par51	Par52	Par53	Par54	Par55
sim16292	100	0.14453125	0.123359375	177.734375	0.87109375	0.87890625	0.124765625	310.546875	0.68359375	0.091015625	212.890625	3105.46875	0.30078125	13.671875	4160.15625	0.12890625	0.037578125	21.484375	2832.03125	0.46484375	306.640625	292.96875	0.58203125	0.057265625	212.890625	3652.34375	0.01953125	0.729296875	0.926171875	0.722265625	0.794921875	0.703515625	0.548828125	0.731640625	0.839453125	0.615234375	0.984765625	0.880859375	0.787890625	0.787890625	0.741015625	0.927734375	0.909765625	0.615234375	79.296875	88.671875	69.921875	98.828125	33.203125	80.078125	76.953125	89.453125	14.453125	57.421875	35.546875	87.109375
sim16375	100	0.93359375	0.189453125	228.515625	0.76953125	0.63671875	0.143046875	134.765625	0.94140625	0.120546875	498.046875	1347.65625	0.23046875	251.953125	2167.96875	0.99609375	0.162734375	322.265625	761.71875	0.91015625	154.296875	2597.65625	0.98046875	0.075546875	333.984375	644.53125	0.65234375	0.886328125	0.755078125	0.729296875	0.956640625	0.968359375	0.763671875	0.794921875	0.874609375	0.791015625	0.823046875	0.501953125	0.982421875	0.748046875	0.996484375	0.845703125	0.888671875	0.689453125	23.828125	89.453125	53.515625	63.671875	2.734375	88.671875	94.921875	98.046875	93.359375	94.140625	45.703125	76.953125
sim16409	100	0.59375	0.194375	171.875	0.90625	0.78125	0.171875	15.625	0.34375	0.070625	453.125	4531.25	0.34375	171.875	3281.25	0.28125	0.025625	296.875	156.25	0.84375	484.375	4218.75	0.46875	0.126875	453.125	4531.25	0.03125	0.765625	0.746875	0.971875	0.821875	0.840625	0.671875	0.878125	0.990625	0.671875	0.971875	0.890625	0.953125	0.709375	0.803125	0.640625	0.971875	0.953125	34.375	34.375	65.625	28.125	3.125	59.375	3.125	84.375	59.375	96.875	34.375	90.625
sim16419	100	0.765625	0.1184375	101.5625	0.921875	0.046875	0.1409375	242.1875	0.046875	0.1634375	39.0625	234.375	0.046875	351.5625	1640.625	0.765625	0.1746875	414.0625	2109.375	0.359375	367.1875	3359.375	0.015625	0.1971875	54.6875	1015.625	0.796875	0.7234375	0.9859375	0.7703125	0.8921875	0.8171875	0.5078125	0.7796875	0.7140625	0.8515625	0.8265625	0.7734375	0.7515625	0.9953125	0.7421875	0.6484375	0.8734375	0.7734375	54.6875	20.3125	82.8125	26.5625	35.9375	32.8125	92.1875	85.9375	76.5625	54.6875	20.3125	92.1875
sim16437	100	0.671875	0.0903125	492.1875	0.953125	0.578125	0.0228125	320.3125	0.265625	0.1915625	85.9375	390.625	0.265625	117.1875	2734.375	0.984375	0.1353125	367.1875	1015.625	0.328125	414.0625	1328.125	0.421875	0.0565625	445.3125	4609.375	0.453125	0.9578125	0.8265625	0.7796875	0.8828125	0.9015625	0.6484375	0.7515625	0.9671875	0.7421875	0.8359375	0.5390625	0.8546875	0.7421875	0.9390625	0.7265625	0.9015625	0.7890625	76.5625	73.4375	4.6875	48.4375	14.0625	23.4375	70.3125	82.8125	67.1875	39.0625	98.4375	95.3125
sim16496	100	0.0546875	0.18734375	50.78125	0.9609375	0.3046875	0.12546875	308.59375	0.4765625	0.04671875	261.71875	4179.6875	0.4765625	97.65625	4648.4375	0.1015625	0.02984375	238.28125	4257.8125	0.7578125	214.84375	742.1875	0.4140625	0.11421875	425.78125	3398.4375	0.4296875	0.87109375	0.73046875	0.76328125	0.75390625	0.85234375	0.80078125	0.71640625	0.97890625	0.55078125	0.98828125	0.65234375	0.87578125	0.88515625	0.99296875	0.57421875	0.85703125	0.91796875	47.65625	19.53125	92.96875	10.15625	5.46875	47.65625	85.15625	75.78125	5.46875	92.96875	10.15625	96.09375
sim16548	100	0.14453125	0.123359375	177.734375	0.87109375	0.87890625	0.124765625	220.703125	0.30078125	0.091015625	212.890625	3105.46875	0.30078125	13.671875	4160.15625	0.12890625	0.037578125	21.484375	2832.03125	0.46484375	306.640625	292.96875	0.58203125	0.057265625	212.890625	3652.34375	0.01953125	0.729296875	0.926171875	0.722265625	0.794921875	0.703515625	0.548828125	0.731640625	0.839453125	0.615234375	0.984765625	0.880859375	0.787890625	0.787890625	0.741015625	0.927734375	0.909765625	0.615234375	79.296875	88.671875	69.921875	98.828125	33.203125	80.078125	76.953125	89.453125	14.453125	57.421875	35.546875	87.109375
sim16631	100	0.93359375	0.189453125	228.515625	0.76953125	0.63671875	0.143046875	287.109375	0.23046875	0.120546875	498.046875	1347.65625	0.23046875	251.953125	2167.96875	0.99609375	0.162734375	322.265625	761.71875	0.91015625	154.296875	2597.65625	0.98046875	0.075546875	333.984375	644.53125	0.65234375	0.886328125	0.755078125	0.729296875	0.956640625	0.968359375	0.763671875	0.794921875	0.874609375	0.791015625	0.823046875	0.501953125	0.982421875	0.748046875	0.996484375	0.845703125	0.888671875	0.689453125	23.828125	89.453125	53.515625	63.671875	2.734375	88.671875	94.921875	98.046875	93.359375	94.140625	45.703125	76.953125
sim16665	100	0.59375	0.194375	171.875	0.90625	0.78125	0.171875	15.625	0.34375	0.081875	453.125	4531.25	0.34375	171.875	3281.25	0.28125	0.025625	296.875	156.25	0.84375	484.375	4218.75	0.46875	0.126875	453.125	4531.25	0.03125	0.765625	0.746875	0.971875	0.821875	0.840625	0.671875	0.878125	0.990625	0.671875	0.971875	0.890625	0.953125	0.709375	0.803125	0.640625	0.971875	0.953125	34.375	34.375	65.625	28.125	3.125	59.375	3.125	84.375	59.375	96.875	34.375	90.625
sim16675	100	0.765625	0.1184375	101.5625	0.921875	0.046875	0.1409375	242.1875	0.640625	0.1465625	39.0625	234.375	0.046875	351.5625	1640.625	0.765625	0.1746875	414.0625	2109.375	0.359375	367.1875	3359.375	0.015625	0.1971875	54.6875	1015.625	0.796875	0.7234375	0.9859375	0.7703125	0.8921875	0.8171875	0.5078125	0.7796875	0.7140625	0.8515625	0.8265625	0.7734375	0.7515625	0.9953125	0.7421875	0.6484375	0.8734375	0.7734375	54.6875	20.3125	82.8125	26.5625	35.9375	32.8125	92.1875	85.9375	76.5625	54.6875	20.3125	92.1875
sim16693	100	0.671875	0.0903125	492.1875	0.953125	0.578125	0.0228125	320.3125	0.296875	0.0621875	85.9375	390.625	0.265625	117.1875	2734.375	0.984375	0.1353125	367.1875	1015.625	0.328125	414.0625	1328.125	0.421875	0.0565625	445.3125	4609.375	0.453125	0.9578125	0.8265625	0.7796875	0.8828125	0.9015625	0.6484375	0.7515625	0.9671875	0.7421875	0.8359375	0.5390625	0.8546875	0.7421875	0.9390625	0.7265625	0.9015625	0.7890625	76.5625	73.4375	4.6875	48.4375	14.0625	23.4375	70.3125	82.8125	67.1875	39.0625	98.4375	95.3125
sim16752	100	0.0546875	0.18734375	50.78125	0.9609375	0.3046875	0.12546875	308.59375	0.9765625	0.05515625	261.71875	4179.6875	0.4765625	97.65625	4648.4375	0.1015625	0.02984375	238.28125	4257.8125	0.7578125	214.84375	742.1875	0.4140625	0.11421875	425.78125	3398.4375	0.4296875	0.87109375	0.73046875	0.76328125	0.75390625	0.85234375	0.80078125	0.71640625	0.97890625	0.55078125	0.98828125	0.65234375	0.87578125	0.88515625	0.99296875	0.57421875	0.85703125	0.91796875	47.65625	19.53125	92.96875	10.15625	5.46875	47.65625	85.15625	75.78125	5.46875	92.96875	10.15625	96.09375
sim16804	100	0.14453125	0.123359375	177.734375	0.87109375	0.87890625	0.124765625	220.703125	0.68359375	0.024921875	212.890625	3105.46875	0.30078125	13.671875	4160.15625	0.12890625	0.037578125	21.484375	2832.03125	0.46484375	306.640625	292.96875	0.58203125	0.057265625	212.890625	3652.34375	0.01953125	0.729296875	0.926171875	0.722265625	0.794921875	0.703515625	0.548828125	0.731640625	0.839453125	0.615234375	0.984765625	0.880859375	0.787890625	0.787890625	0.741015625	0.927734375	0.909765625	0.615234375	79.296875	88.671875	69.921875	98.828125	33.203125	80.078125	76.953125	89.453125	14.453125	57.421875	35.546875	87.109375
sim16887	100	0.93359375	0.189453125	228.515625	0.76953125	0.63671875	0.143046875	287.109375	0.94140625	0.110703125	498.046875	1347.65625	0.23046875	251.953125	2167.96875	0.99609375	0.162734375	322.265625	761.71875	0.91015625	154.296875	2597.65625	0.98046875	0.075546875	333.984375	644.53125	0.65234375	0.886328125	0.755078125	0.729296875	0.956640625	0.968359375	0.763671875	0.794921875	0.874609375	0.791015625	0.823046875	0.501953125	0.982421875	0.748046875	0.996484375	0.845703125	0.888671875	0.689453125	23.828125	89.453125	53.515625	63.671875	2.734375	88.671875	94.921875	98.046875	93.359375	94.140625	45.703125	76.953125
sim16921	100	0.59375	0.194375	171.875	0.90625	0.78125	0.171875	15.625	0.34375	0.070625	328.125	4531.25	0.34375	171.875	3281.25	0.28125	0.025625	296.875	156.25	0.84375	484.375	4218.75	0.46875	0.126875	453.125	4531.25	0.03125	0.765625	0.746875	0.971875	0.821875	0.840625	0.671875	0.878125	0.990625	0.671875	0.971875	0.890625	0.953125	0.709375	0.803125	0.640625	0.971875	0.953125	34.375	34.375	65.625	28.125	3.125	59.375	3.125	84.375	59.375	96.875	34.375	90.625
sim16931	100	0.765625	0.1184375	101.5625	0.921875	0.046875	0.1409375	242.1875	0.640625	0.1634375	164.0625	234.375	0.046875	351.5625	1640.625	0.765625	0.1746875	414.0625	2109.375	0.359375	367.1875	3359.375	0.015625	0.1971875	54.6875	1015.625	0.796875	0.7234375	0.9859375	0.7703125	0.8921875	0.8171875	0.5078125	0.7796875	0.7140625	0.8515625	0.8265625	0.7734375	0.7515625	0.9953125	0.7421875	0.6484375	0.8734375	0.7734375	54.6875	20.3125	82.8125	26.5625	35.9375	32.8125	92.1875	85.9375	76.5625	54.6875	20.3125	92.1875
sim16949	100	0.671875	0.0903125	492.1875	0.953125	0.578125	0.0228125	320.3125	0.296875	0.1915625	273.4375	390.625	0.265625	117.1875	2734.375	0.984375	0.1353125	367.1875	1015.625	0.328125	414.0625	1328.125	0.421875	0.0565625	445.3125	4609.375	0.453125	0.9578125	0.8265625	0.7796875	0.8828125	0.9015625	0.6484375	0.7515625	0.9671875	0.7421875	0.8359375	0.5390625	0.8546875	0.7421875	0.9390625	0.7265625	0.9015625	0.7890625	76.5625	73.4375	4.6875	48.4375	14.0625	23.4375	70.3125	82.8125	67.1875	39.0625	98.4375	95.3125
sim17008	100	0.0546875	0.18734375	50.78125	0.9609375	0.3046875	0.12546875	308.59375	0.9765625	0.04671875	464.84375	4179.6875	0.4765625	97.65625	4648.4375	0.1015625	0.02984375	238.28125	4257.8125	0.7578125	214.84375	742.1875	0.4140625	0.11421875	425.78125	3398.4375	0.4296875	0.87109375	0.73046875	0.76328125	0.75390625	0.85234375	0.80078125	0.71640625	0.97890625	0.55078125	0.98828125	0.65234375	0.87578125	0.88515625	0.99296875	0.57421875	0.85703125	0.91796875	47.65625	19.53125	92.96875	10.15625	5.46875	47.65625	85.15625	75.78125	5.46875	92.96875	10.15625	96.09375
sim17060	100	0.14453125	0.123359375	177.734375	0.87109375	0.87890625	0.124765625	220.703125	0.68359375	0.091015625	416.015625	3105.46875	0.30078125	13.671875	4160.15625	0.12890625	0.037578125	21.484375	2832.03125	0.46484375	306.640625	292.96875	0.58203125	0.057265625	212.890625	3652.34375	0.01953125	0.729296875	0.926171875	0.722265625	0.794921875	0.703515625	0.548828125	0.731640625	0.839453125	0.615234375	0.984765625	0.880859375	0.787890625	0.787890625	0.741015625	0.927734375	0.909765625	0.615234375	79.296875	88.671875	69.921875	98.828125	33.203125	80.078125	76.953125	89.453125	14.453125	57.421875	35.546875	87.109375
sim17143	100	0.93359375	0.189453125	228.515625	0.76953125	0.63671875	0.143046875	287.109375	0.94140625	0.120546875	216.796875	1347.65625	0.23046875	251.953125	2167.96875	0.99609375	0.162734375	322.265625	761.71875	0.91015625	154.296875	2597.65625	0.98046875	0.075546875	333.984375	644.53125	0.65234375	0.886328125	0.755078125	0.729296875	0.956640625	0.968359375	0.763671875	0.794921875	0.874609375	0.791015625	0.823046875	0.501953125	0.982421875	0.748046875	0.996484375	0.845703125	0.888671875	0.689453125	23.828125	89.453125	53.515625	63.671875	2.734375	88.671875	94.921875	98.046875	93.359375	94.140625	45.703125	76.953125
sim17177	100	0.59375	0.194375	171.875	0.90625	0.78125	0.171875	15.625	0.34375	0.070625	453.125	1406.25	0.34375	171.875	3281.25	0.28125	0.025625	296.875	156.25	0.84375	484.375	4218.75	0.46875	0.126875	453.125	4531.25	0.03125	0.765625	0.746875	0.971875	0.821875	0.840625	0.671875	0.878125	0.990625	0.671875	0.971875	0.890625	0.953125	0.709375	0.803125	0.640625	0.971875	0.953125	34.375	34.375	65.625	28.125	3.125	59.375	3.125	84.375	59.375	96.875	34.375	90.625
sim17187	100	0.765625	0.1184375	101.5625	0.921875	0.046875	0.1409375	242.1875	0.640625	0.1634375	39.0625	3828.125	0.046875	351.5625	1640.625	0.765625	0.1746875	414.0625	2109.375	0.359375	367.1875	3359.375	0.015625	0.1971875	54.6875	1015.625	0.796875	0.7234375	0.9859375	0.7703125	0.8921875	0.8171875	0.5078125	0.7796875	0.7140625	0.8515625	0.8265625	0.7734375	0.7515625	0.9953125	0.7421875	0.6484375	0.8734375	0.7734375	54.6875	20.3125	82.8125	26.5625	35.9375	32.8125	92.1875	85.9375	76.5625	54.6875	20.3125	92.1875
sim17205	100	0.671875	0.0903125	492.1875	0.953125	0.578125	0.0228125	320.3125	0.296875	0.1915625	85.9375	4921.875	0.265625	117.1875	2734.375	0.984375	0.1353125	367.1875	1015.625	0.328125	414.0625	1328.125	0.421875	0.0565625	445.3125	4609.375	0.453125	0.9578125	0.8265625	0.7796875	0.8828125	0.9015625	0.6484375	0.7515625	0.9671875	0.7421875	0.8359375	0.5390625	0.8546875	0.7421875	0.9390625	0.7265625	0.9015625	0.7890625	76.5625	73.4375	4.6875	48.4375	14.0625	23.4375	70.3125	82.8125	67.1875	39.0625	98.4375	95.3125
sim17264	100	0.0546875	0.18734375	50.78125	0.9609375	0.3046875	0.12546875	308.59375	0.9765625	0.04671875	261.71875	507.8125	0.4765625	97.65625	4648.4375	0.1015625	0.02984375	238.28125	4257.8125	0.7578125	214.84375	742.1875	0.4140625	0.11421875	425.78125	3398.4375	0.4296875	0.87109375	0.73046875	0.76328125	0.75390625	0.85234375	0.80078125	0.71640625	0.97890625	0.55078125	0.98828125	0.65234375	0.87578125	0.88515625	0.99296875	0.57421875	0.85703125	0.91796875	47.65625	19.53125	92.96875	10.15625	5.46875	47.65625	85.15625	75.78125	5.46875	92.96875	10.15625	96.09375
sim17316	100	0.14453125	0.123359375	177.734375	0.87109375	0.87890625	0.124765625	220.703125	0.68359375	0.091015625	212.890625	644.53125	0.30078125	13.671875	4160.15625	0.12890625	0.037578125	21.484375	2832.03125	0.46484375	306.640625	292.96875	0.58203125	0.057265625	212.890625	3652.34375	0.01953125	0.729296875	0.926171875	0.722265625	0.794921875	0.703515625	0.548828125	0.731640625	0.839453125	0.615234375	0.984765625	0.880859375	0.787890625	0.787890625	0.741015625	0.927734375	0.909765625	0.615234375	79.296875	88.671875	69.921875	98.828125	33.203125	80.078125	76.953125	89.453125	14.453125	57.421875	35.546875	87.109375
sim17399	100	0.93359375	0.189453125	228.515625	0.76953125	0.63671875	0.143046875	287.109375	0.94140625	0.120546875	498.046875	4980.46875	0.23046875	251.953125	2167.96875	0.99609375	0.162734375	322.265625	761.71875	0.91015625	154.296875	2597.65625	0.98046875	0.075546875	333.984375	644.53125	0.65234375	0.886328125	0.755078125	0.729296875	0.956640625	0.968359375	0.763671875	0.794921875	0.874609375	0.791015625	0.823046875	0.501953125	0.982421875	0.748046875	0.996484375	0.845703125	0.888671875	0.689453125	23.828125	89.453125	53.515625	63.671875	2.734375	88.671875	94.921875	98.046875	93.359375	94.140625	45.703125	76.953125
sim17433	100	0.59375	0.194375	171.875	0.90625	0.78125	0.171875	15.625	0.34375	0.070625	453.125	4531.25	0.03125	171.875	3281.25	0.28125	0.025625	296.875	156.25	0.84375	484.375	4218.75	0.46875	0.126875	453.125	4531.25	0.03125	0.765625	0.746875	0.971875	0.821875	0.840625	0.671875	0.878125	0.990625	0.671875	0.971875	0.890625	0.953125	0.709375	0.803125	0.640625	0.971875	0.953125	34.375	34.375	65.625	28.125	3.125	59.375	3.125	84.375	59.375	96.875	34.375	90.625
sim17443	100	0.765625	0.1184375	101.5625	0.921875	0.046875	0.1409375	242.1875	0.640625	0.1634375	39.0625	234.375	0.859375	351.5625	1640.625	0.765625	0.1746875	414.0625	2109.375	0.359375	367.1875	3359.375	0.015625	0.1971875	54.6875	1015.625	0.796875	0.7234375	0.9859375	0.7703125	0.8921875	0.8171875	0.5078125	0.7796875	0.7140625	0.8515625	0.8265625	0.7734375	0.7515625	0.9953125	0.7421875	0.6484375	0.8734375	0.7734375	54.6875	20.3125	82.8125	26.5625	35.9375	32.8125	92.1875	85.9375	76.5625	54.6875	20.3125	92.1875
sim17461	100	0.671875	0.0903125	492.1875	0.953125	0.578125	0.0228125	320.3125	0.296875	0.1915625	85.9375	390.625	0.640625	117.1875	2734.375	0.984375	0.1353125	367.1875	1015.625	0.328125	414.0625	1328.125	0.421875	0.0565625	445.3125	4609.375	0.453125	0.9578125	0.8265625	0.7796875	0.8828125	0.9015625	0.6484375	0.7515625	0.9671875	0.7421875	0.8359375	0.5390625	0.8546875	0.7421875	0.9390625	0.7265625	0.9015625	0.7890625	76.5625	73.4375	4.6875	48.4375	14.0625	23.4375	70.3125	82.8125	67.1875	39.0625	98.4375	95.3125
sim17520	100	0.0546875	0.18734375	50.78125	0.9609375	0.3046875	0.12546875	308.59375	0.9765625	0.04671875	261.71875	4179.6875	0.0546875	97.65625	4648.4375	0.1015625	0.02984375	238.28125	4257.8125	0.7578125	214.84375	742.1875	0.4140625	0.11421875	425.78125	3398.4375	0.4296875	0.87109375	0.73046875	0.76328125	0.75390625	0.85234375	0.80078125	0.71640625	0.97890625	0.55078125	0.98828125	0.65234375	0.87578125	0.88515625	0.99296875	0.57421875	0.85703125	0.91796875	47.65625	19.53125	92.96875	10.15625	5.46875	47.65625	85.15625	75.78125	5.46875	92.96875	10.15625	96.09375
sim17566	100	0.47265625	0.182421875	107.421875	0.85546875	0.14453125	0.178203125	9.765625	0.32421875	0.178203125	283.203125	2402.34375	0.80078125	458.984375	800.78125	0.67578125	0.164140625	138.671875	4785.15625	0.94921875	423.828125	2402.34375	0.91015625	0.076953125	298.828125	2011.71875	0.75390625	0.762109375	0.733984375	0.933203125	0.883984375	0.736328125	0.634765625	0.933203125	0.853515625	0.919921875	0.839453125	0.763671875	0.923828125	0.923828125	0.811328125	0.935546875	0.942578125	0.685546875	12.109375	55.859375	80.859375	94.140625	0.390625	0.390625	12.890625	87.890625	47.265625	90.234375	21.484375	85.546875
sim17572	100	0.14453125	0.123359375	177.734375	0.87109375	0.87890625	0.124765625	220.703125	0.68359375	0.091015625	212.890625	3105.46875	0.09765625	13.671875	4160.15625	0.12890625	0.037578125	21.484375	2832.03125	0.46484375	306.640625	292.96875	0.58203125	0.057265625	212.890625	3652.34375	0.01953125	0.729296875	0.926171875	0.722265625	0.794921875	0.703515625	0.548828125	0.731640625	0.839453125	0.615234375	0.984765625	0.880859375	0.787890625	0.787890625	0.741015625	0.927734375	0.909765625	0.615234375	79.296875	88.671875	69.921875	98.828125	33.203125	80.078125	76.953125	89.453125	14.453125	57.421875	35.546875	87.109375
sim17655	100	0.93359375	0.189453125	228.515625	0.76953125	0.63671875	0.143046875	287.109375	0.94140625	0.120546875	498.046875	1347.65625	0.79296875	251.953125	2167.96875	0.99609375	0.162734375	322.265625	761.71875	0.91015625	154.296875	2597.65625	0.98046875	0.075546875	333.984375	644.53125	0.65234375	0.886328125	0.755078125	0.729296875	0.956640625	0.968359375	0.763671875	0.794921875	0.874609375	0.791015625	0.823046875	0.501953125	0.982421875	0.748046875	0.996484375	0.845703125	0.888671875	0.689453125	23.828125	89.453125	53.515625	63.671875	2.734375	88.671875	94.921875	98.046875	93.359375	94.140625	45.703125	76.953125
sim17689	100	0.59375	0.194375	171.875	0.90625	0.78125	0.171875	15.625	0.34375	0.070625	453.125	4531.25	0.34375	296.875	3281.25	0.28125	0.025625	296.875	156.25	0.84375	484.375	4218.75	0.46875	0.126875	453.125	4531.25	0.03125	0.765625	0.746875	0.971875	0.821875	0.840625	0.671875	0.878125	0.990625	0.671875	0.971875	0.890625	0.953125	0.709375	0.803125	0.640625	0.971875	0.953125	34.375	34.375	65.625	28.125	3.125	59.375	3.125	84.375	59.375	96.875	34.375	90.625
sim17699	100	0.765625	0.1184375	101.5625	0.921875	0.046875	0.1409375	242.1875	0.640625	0.1634375	39.0625	234.375	0.046875	414.0625	1640.625	0.765625	0.1746875	414.0625	2109.375	0.359375	367.1875	3359.375	0.015625	0.1971875	54.6875	1015.625	0.796875	0.7234375	0.9859375	0.7703125	0.8921875	0.8171875	0.5078125	0.7796875	0.7140625	0.8515625	0.8265625	0.7734375	0.7515625	0.9953125	0.7421875	0.6484375	0.8734375	0.7734375	54.6875	20.3125	82.8125	26.5625	35.9375	32.8125	92.1875	85.9375	76.5625	54.6875	20.3125	92.1875
sim17717	100	0.671875	0.0903125	492.1875	0.953125	0.578125	0.0228125	320.3125	0.296875	0.1915625	85.9375	390.625	0.265625	367.1875	2734.375	0.984375	0.1353125	367.1875	1015.625	0.328125	414.0625	1328.125	0.421875	0.0565625	445.3125	4609.375	0.453125	0.9578125	0.8265625	0.7796875	0.8828125	0.9015625	0.6484375	0.7515625	0.9671875	0.7421875	0.8359375	0.5390625	0.8546875	0.7421875	0.9390625	0.7265625	0.9015625	0.7890625	76.5625	73.4375	4.6875	48.4375	14.0625	23.4375	70.3125	82.8125	67.1875	39.0625	98.4375	95.3125
sim17776	100	0.0546875	0.18734375	50.78125	0.9609375	0.3046875	0.12546875	308.59375	0.9765625	0.04671875	261.71875	4179.6875	0.4765625	238.28125	4648.4375	0.1015625	0.02984375	238.28125	4257.8125	0.7578125	214.84375	742.1875	0.4140625	0.11421875	425.78125	3398.4375	0.4296875	0.87109375	0.73046875	0.76328125	0.75390625	0.85234375	0.80078125	0.71640625	0.97890625	0.55078125	0.98828125	0.65234375	0.87578125	0.88515625	0.99296875	0.57421875	0.85703125	0.91796875	47.65625	19.53125	92.96875	10.15625	5.46875	47.65625	85.15625	75.78125	5.46875	92.96875	10.15625	96.09375
